,AGE,SEX,CLASS,INCTOT
166801,23,F,l,12047
140326,19,F,l,12960
38647,35,F,lm,47014
32954,15,M,um,0
130652,18,F,lm,0
178034,78,F,l,8796
94852,25,F,w,17000
129409,80,F,lm,28481
60045,42,F,um,40000
170754,75,F,l,14880
55939,35,F,um,50121
11736,52,F,um,0
159162,67,F,w,8219
12884,42,F,um,80250
82942,30,M,um,52001
7962,25,F,um,21774
165163,43,M,w,0
142738,59,F,lm,2
123820,16,F,lm,15307
83634,60,M,um,44246
133907,69,F,lm,38854
167177,73,M,w,17248
69940,17,F,um,100
32011,30,M,um,71520
20264,38,M,um,121805
22658,49,F,um,15000
173688,45,F,l,12025
106773,36,F,lm,29000
80391,49,M,um,52000
42928,39,M,w,20000
152316,44,M,w,27000
65471,30,F,um,49001
116121,36,F,lm,7355
29759,66,F,um,14768
35250,62,F,um,65778
101108,23,M,lm,500
17179,16,F,um,551
156613,43,M,w,9600
30168,18,M,um,9002
3635,36,F,um,82006
77929,50,M,lm,52258
94335,70,F,lm,20281
27721,42,M,um,79454
23386,55,F,um,8760
11627,20,M,um,35006
117595,38,M,lm,50000
153313,78,F,w,26241
34537,60,M,um,60213
151969,76,F,w,6000
18394,74,F,um,132874
99910,27,F,l,14000
121313,71,F,lm,35399
33314,31,F,um,38402
143394,44,F,lm,12600
78207,61,M,um,28000
128080,79,F,lm,14352
182660,17,F,l,250
60213,50,F,um,80000
154312,21,M,w,24003
155294,67,F,w,0
133144,55,M,lm,30000
152119,66,M,w,18000
79583,17,M,lm,0
62286,36,F,um,18000
31751,42,F,um,55575
165365,73,F,w,18530
34002,34,M,lm,42515
56598,17,M,um,1100
61688,38,M,um,48762
149260,52,F,w,29132
8779,38,M,um,196759
86550,53,F,lm,22000
67455,41,M,um,48118
6592,40,M,w,21000
72463,31,F,um,6500
66779,54,F,um,25324
146769,30,F,lm,30274
161737,30,F,l,1
109977,56,M,lm,55100
105193,47,M,lm,38001
93309,24,F,lm,8350
9696,54,M,um,130004
172260,55,F,l,4668
108817,51,M,lm,56031
12736,39,M,um,110013
90955,34,M,lm,50200
70705,52,F,lm,17000
167107,68,M,w,17307
62736,41,F,um,57101
105397,28,M,lm,31000
18148,36,F,um,0
121428,47,M,lm,47258
130300,17,M,lm,1000
7437,37,F,um,154887
158261,42,M,w,21200
119600,80,F,lm,29350
77144,32,M,um,66001
48369,44,F,um,51000
18639,27,F,um,37001
56479,20,F,um,2504
158017,15,F,w,0
167463,28,M,w,17000
79244,33,F,um,45017
157547,18,F,w,0
145497,45,M,lm,31200
65959,39,F,um,47162
22366,48,F,um,22003
23201,29,F,um,90008
62664,45,F,um,20000
182411,23,F,l,1500
16321,42,M,um,98900
31874,30,F,um,50000
38265,72,F,lm,20000
3136,49,M,u,351099
4996,50,M,um,200000
158733,46,F,w,23000
62168,19,M,um,471
182611,43,M,l,1046
53059,31,F,um,82002
86464,15,M,lm,0
79655,23,M,w,24000
137039,32,M,lm,36440
169230,76,F,l,15659
18512,30,M,um,47077
52589,39,M,um,43001
35651,66,M,um,99000
14990,18,F,um,0
104663,24,F,l,2
47766,56,F,um,0
132143,26,M,lm,40000
77138,27,M,um,82002
158725,28,M,w,23000
20394,22,M,um,0
39318,20,M,um,4000
122732,44,F,lm,46118
92415,73,F,l,13259
25861,40,F,um,0
55544,46,M,um,60000
138991,55,F,lm,0
170872,79,M,l,11400
31020,34,M,um,144030
8531,54,F,um,106621
100902,38,F,lm,30002
48495,45,F,um,63303
54817,15,M,um,20
134815,54,F,lm,32064
64109,77,F,um,10938
51254,38,M,um,110019
44905,30,F,um,11
48879,21,M,um,13000
87747,27,F,lm,33000
101261,80,M,lm,30224
30166,61,M,um,38427
164918,68,F,w,18972
176531,15,F,l,0
96664,42,F,lm,0
157645,58,M,w,14760
20093,36,M,um,107551
11568,38,M,um,182000
125544,56,F,lm,0
100318,16,F,lm,3500
66298,27,F,um,25000
122422,66,M,lm,14448
145869,27,M,lm,31000
127615,46,F,lm,15000
44218,35,M,um,120012
135423,34,F,l,12800
30645,46,M,um,80000
560,69,M,u,10884
71427,54,M,um,52800
129581,72,F,lm,22595
179510,30,F,l,7000
48609,41,F,um,3700
45159,18,F,um,1400
72222,49,M,um,86900
145503,35,M,lm,31200
95184,73,F,lm,42576
56224,58,F,um,52000
114600,36,M,w,30000
169290,37,F,l,10810
173506,80,F,l,8062
52190,38,M,um,54015
17392,56,M,um,58725
118728,51,F,lm,28002
96863,19,F,lm,10000
2062,18,F,u,3852
82174,62,M,um,34126
164185,68,M,w,17496
167112,54,F,w,4320
23702,45,M,lm,60003
131124,51,F,lm,1
60697,54,M,um,84219
37458,27,F,um,0
25666,52,F,um,29000
184599,58,M,l,0
28996,46,F,um,89150
180997,38,F,l,4204
100809,58,F,lm,15659
56067,30,F,um,64100
106796,31,F,l,15500
70503,42,F,um,39378
80483,64,F,um,9660
96197,45,M,lm,65805
104498,27,F,lm,60000
147817,68,M,w,30000
14239,16,M,um,0
92959,27,M,lm,33100
55087,46,F,um,13002
48128,80,F,um,114166
103876,25,F,lm,30002
6762,32,M,lm,52008
184823,20,M,l,0
42802,35,M,um,121804
146894,17,F,lm,5000
65302,53,M,um,80000
179352,54,F,l,7200
87239,42,M,lm,55646
95211,46,F,lm,34300
181471,17,M,l,1500
53867,59,M,um,73018
9179,34,M,um,95006
185165,15,M,l,0
38310,51,F,um,83234
176889,76,F,l,9765
83604,56,F,um,36426
112883,32,M,lm,53020
183709,48,M,l,0
59410,20,M,um,4617
26574,50,M,um,86481
135413,67,M,lm,16800
85314,57,F,um,0
139008,85,F,lm,35222
84963,61,M,um,45100
184797,71,M,l,0
150782,30,F,w,0
21715,44,F,um,48451
102068,35,F,l,11000
36344,40,M,um,0
20584,25,M,um,100659
73084,76,F,um,7547
151378,17,M,w,0
144428,41,F,lm,15000
56516,18,M,um,2024
83726,52,F,um,7280
33626,80,M,um,114500
143123,72,M,lm,18225
10426,57,F,um,110
80279,38,F,um,38000
94592,44,F,lm,67150
37845,50,M,um,55034
89653,64,M,lm,71278
105500,26,M,lm,35000
26801,49,F,um,76800
174425,46,F,l,6777
16992,61,F,um,97203
14962,19,F,um,2752
138379,66,F,lm,10859
141348,29,F,lm,34010
36075,79,M,um,106000
156797,38,F,w,23200
24802,43,F,um,60980
176113,80,F,l,3240
108004,22,M,lm,12000
175153,53,F,l,0
158897,68,F,w,9984
3262,45,M,um,226016
151732,18,F,w,2
10056,17,F,um,503
8674,68,M,um,69873
28992,67,F,um,148738
134320,22,F,lm,500
157144,44,M,w,12000
84863,36,F,um,34184
76489,23,M,um,0
51335,24,F,um,15000
182794,15,F,l,0
10180,51,M,um,189740
114673,34,M,l,12003
32543,46,F,um,42493
118532,85,M,lm,36083
81861,43,M,um,9000
20877,26,M,um,170001
175124,51,M,l,11000
149669,20,M,w,0
149525,60,F,w,29000
70159,57,F,um,44654
82395,42,M,um,20000
145562,63,F,lm,17940
9814,22,M,um,15422
54415,40,F,um,28025
2735,24,M,u,15000
166575,67,F,w,17856
67591,26,M,lm,65144
155260,18,F,l,2
42612,25,F,um,11401
136885,31,M,w,22021
127729,50,F,lm,15880
44947,39,M,um,90000
151630,19,M,w,0
119978,80,M,lm,48232
51708,46,F,um,53694
102227,48,M,lm,22000
181768,73,M,l,2910
62854,56,M,um,46032
95018,63,M,lm,52297
32258,41,F,um,65000
99460,80,F,lm,17688
13633,43,F,um,1010
165113,28,M,w,4684
114532,17,F,lm,0
6868,48,M,um,180243
72025,26,F,lm,30001
29974,41,M,um,140050
15640,17,F,um,2454
9583,34,M,lm,45000
121444,69,M,lm,24491
79536,49,M,um,80003
86951,73,F,lm,32316
175374,74,F,l,10859
81514,34,M,um,78280
135291,80,M,lm,22929
34947,17,F,um,640
6499,27,F,um,5901
17089,59,M,um,113034
163428,54,F,w,0
20114,41,M,um,97308
97709,56,F,lm,28000
86141,41,M,lm,55006
75776,24,M,lm,56214
179265,35,M,l,0
109979,15,M,lm,5000
184039,32,F,l,0
52339,46,M,um,36469
31180,30,M,um,50000
74086,30,M,um,85000
153826,41,F,w,26000
169371,80,F,l,15600
118185,16,F,lm,700
75254,33,M,um,80000
45305,59,M,um,64913
1241,33,F,u,200051
113753,20,F,lm,13005
62594,43,M,um,45000
90302,15,F,lm,0
167335,77,F,w,4800
160142,25,M,w,22000
148808,23,F,l,8400
140660,55,M,w,29120
125352,65,M,lm,44621
146331,22,F,l,491
84223,18,F,um,10625
89360,69,M,lm,71603
76932,45,F,um,18489
7944,69,F,um,21983
152291,63,F,w,27001
26066,67,M,um,48660
177378,46,F,l,9276
179575,16,M,l,0
141643,36,F,lm,8000
54942,57,F,um,634
112061,79,M,lm,28800
184476,35,M,l,0
171230,18,M,l,0
48481,55,M,um,113710
2450,16,F,u,4929
30482,33,F,um,25025
158115,76,M,w,9120
31579,57,M,um,100000
82324,48,M,um,58250
59348,58,M,um,100259
11233,17,F,um,0
151469,54,M,w,20000
31236,57,M,um,143403
82880,50,M,um,10000
12491,19,M,um,0
135641,32,M,l,16000
1423,44,F,u,450288
53684,50,F,w,17000
33674,64,M,l,14400
153688,20,F,w,0
98240,23,F,lm,24430
160623,80,M,w,11483
118112,44,M,lm,25000
151574,38,F,w,0
144164,29,M,l,0
5748,41,F,um,146000
131316,51,F,lm,15
179755,58,M,l,6597
86983,16,M,lm,18728
46269,55,M,um,60019
74455,21,M,um,75000
91733,41,M,lm,50000
120854,27,F,lm,35000
169314,48,F,l,15600
26897,53,M,um,62076
63648,40,M,um,95032
91548,15,M,lm,0
145012,30,M,l,0
136915,47,F,lm,36668
68330,46,F,um,36000
129435,80,F,lm,41458
73455,38,M,um,51100
48368,49,M,um,34000
17705,57,F,um,33918
93648,28,F,w,18000
62400,44,F,um,60000
160916,20,M,l,9461
76609,65,F,um,45210
184708,25,F,l,0
87929,32,M,lm,72805
105863,23,F,lm,5000
65824,55,M,um,26888
34254,43,F,um,68000
11150,73,M,um,99490
107112,16,F,lm,2868
44231,18,M,um,0
181416,16,F,l,0
132397,42,M,lm,30000
138485,57,M,lm,35720
15912,62,M,um,160001
83537,47,F,um,18000
240,37,F,u,20002
9342,43,F,um,149846
158638,44,M,w,23000
109753,45,F,w,20008
40243,32,F,um,70600
15610,38,F,um,100044
56379,30,F,um,410
47956,62,M,um,14461
155224,27,F,w,25003
109538,28,M,l,0
157934,68,M,w,23565
183607,60,F,l,0
176328,80,F,l,10020
43266,27,M,lm,65000
85268,51,F,um,25000
161750,36,F,w,20800
181204,30,F,l,4002
156469,22,F,w,0
18498,61,M,um,116034
116221,38,M,lm,50525
146616,31,F,lm,3400
17094,30,F,um,55003
29800,44,M,um,40005
68692,60,F,um,90205
95951,21,M,lm,1000
122251,80,M,lm,32810
166488,33,F,w,17960
182813,16,F,l,0
155301,38,F,w,0
133528,54,F,lm,39001
2502,27,F,u,59000
72599,25,F,um,18200
111239,16,M,lm,0
162762,56,F,w,10019
117608,55,F,lm,20000
34412,37,F,um,37000
98626,35,F,lm,8
140119,26,F,lm,20000
18606,26,M,um,175110
102445,42,M,lm,40000
28358,60,M,um,150002
16011,66,F,um,90197
184122,34,M,l,0
907,35,F,u,0
20444,51,M,um,108906
120981,39,M,lm,20000
121680,32,F,lm,32019
45836,41,F,um,17500
126087,40,M,lm,25000
68286,75,M,um,41225
72338,45,F,w,24200
176224,85,F,l,10068
21709,52,F,um,34371
21072,43,F,um,46600
10682,40,F,um,125002
135570,24,F,w,8761
778,66,F,u,7304
12493,44,F,um,143500
116892,57,M,lm,50055
126780,36,F,lm,35003
152095,67,F,w,11400
140152,41,M,lm,35000
107663,58,F,lm,40010
65659,58,M,um,3490
171152,53,F,l,0
13687,43,F,um,55016
86911,29,F,lm,10859
75128,39,F,um,50000
66867,25,M,um,30205
158016,37,F,w,23500
36346,43,M,um,70025
8580,65,M,um,165882
148436,35,M,w,30000
52769,20,F,um,25000
95587,45,M,lm,66255
104309,50,F,lm,60000
108375,45,M,lm,46459
157724,64,F,w,13000
23935,18,M,um,20008
47290,56,F,um,24431
41230,49,F,um,57225
40214,79,M,um,107295
27111,57,F,um,95002
19813,71,F,um,0
185355,71,M,l,0
148420,20,M,w,30000
141266,28,M,lm,34020
85242,34,M,um,63010
159840,40,M,w,15600
116023,75,M,lm,24059
128499,51,M,lm,19008
118356,68,M,lm,14160
182024,18,F,l,0
51837,60,M,lm,72000
33769,48,M,um,115000
136910,42,F,w,19800
94206,73,M,lm,48065
62137,27,F,lm,59000
123192,58,M,lm,11400
142722,68,M,lm,26726
67239,61,F,um,9310
151854,77,F,w,27288
47594,33,M,lm,55000
124690,35,M,w,28000
11950,73,F,um,131524
175941,54,M,l,10295
26342,62,F,um,65000
5215,57,F,um,335
25186,42,M,um,20000
74931,22,M,um,10055
8863,67,M,um,207225
25133,19,F,um,0
42584,39,M,um,35002
149432,53,F,w,15003
100835,23,F,lm,18523
74657,48,F,l,0
172062,28,M,l,0
117877,41,F,l,0
128193,36,M,l,6500
54162,50,M,um,106385
172618,41,M,l,13200
63835,34,F,um,95600
74191,24,F,um,25000
100656,16,M,lm,1680
176893,80,F,l,9755
33039,39,F,lm,40000
85398,61,F,um,75003
62270,25,F,um,15000
47774,50,F,um,41447
130579,26,M,lm,31512
176101,65,M,l,10188
56701,53,M,um,75052
119500,30,M,lm,12000
98016,52,F,lm,64703
61873,23,F,um,14000
113689,47,M,lm,52008
25991,36,F,um,60000
28566,56,M,um,35461
185220,56,M,l,0
3356,15,F,um,15
138828,54,F,lm,18000
173844,56,F,l,3422
179403,51,M,l,7200
178166,58,F,l,8760
64005,31,M,lm,65332
148010,23,M,w,30000
126210,44,M,w,23000
122619,51,M,lm,32000
170336,33,F,l,0
158020,32,M,w,22000
99268,69,M,lm,61769
93064,73,F,lm,29362
111461,25,F,lm,43280
140104,31,F,lm,0
145855,18,F,lm,12000
139241,24,F,lm,35030
103287,65,M,lm,35050
82548,16,M,um,13264
96174,39,F,lm,57840
164523,43,F,w,0
33180,52,F,um,31000
103405,61,F,lm,30025
134233,71,M,lm,38544
167741,80,F,w,16869
39204,16,M,um,0
54544,42,F,um,0
17324,50,F,um,28233
169521,34,F,l,15500
136101,20,F,lm,0
74671,41,F,um,40037
124841,40,M,lm,45000
16495,61,M,um,130170
120129,36,F,lm,48140
150632,71,M,w,28110
65636,65,M,um,61726
83703,33,M,um,40200
171814,71,M,l,9755
103090,67,F,lm,0
153258,65,M,w,13416
4132,46,F,um,15481
31263,80,M,um,16027
136922,80,F,lm,36660
170081,62,M,l,7000
142677,85,F,lm,33046
118921,61,M,lm,0
141256,33,F,lm,34040
88906,28,M,lm,30000
91349,32,F,w,30000
183336,55,M,l,0
77466,37,F,um,29184
112087,51,M,lm,12884
5970,31,M,um,55005
73994,50,M,um,30002
93904,32,M,lm,50000
132232,26,M,lm,20000
112324,23,M,lm,784
32457,35,M,um,140200
66603,20,M,um,35601
6244,25,M,um,900
154045,75,F,w,11088
40166,56,M,um,40050
144892,64,M,lm,31680
96758,40,F,lm,60111
137300,66,F,lm,36403
5714,23,F,w,25000
114482,45,F,lm,0
33517,75,M,um,126089
76619,45,F,um,22008
24372,55,M,um,87017
123751,57,M,lm,45463
134866,75,F,lm,9324
12244,31,F,um,90000
142799,21,F,w,18002
44259,50,F,um,50003
44990,31,F,um,52210
12975,66,F,um,30166
90940,32,F,lm,13000
36515,65,M,um,60000
10472,16,F,um,10000
131614,27,M,lm,33002
71871,32,M,um,77555
78389,23,M,lm,51859
122002,16,M,l,0
60480,69,F,um,17735
83045,29,M,um,30000
177586,19,F,l,9004
2002,32,M,u,288000
100502,74,F,lm,14375
115181,39,F,lm,0
17307,50,F,um,35086
25853,23,M,lm,30082
81778,69,M,um,65026
142627,67,F,lm,6000
98401,23,F,lm,12525
117937,41,M,lm,50000
30406,45,F,um,1373
227,19,M,u,54
175793,63,M,l,10401
50046,33,F,um,4
120240,17,F,lm,50
27846,29,F,um,150432
131638,28,M,lm,40002
67971,59,F,um,32192
4490,55,M,um,303017
157941,71,M,w,23560
90976,26,M,lm,25005
156029,53,F,w,0
156094,66,M,w,24960
143254,70,F,lm,0
120961,46,F,lm,14803
72673,32,M,um,54124
177445,52,M,l,9180
130260,47,M,lm,37440
74122,40,M,um,40000
144521,24,M,l,16000
33128,19,F,um,1500
97625,48,M,lm,65000
25402,38,F,um,36616
133297,40,F,lm,140
5292,55,M,um,157018
40626,48,F,um,4
95436,24,F,lm,27496
173080,35,F,l,12864
137974,25,M,lm,36000
118777,40,M,lm,46023
78146,25,M,um,55005
36039,45,M,um,86569
108874,19,M,lm,50058
500,64,M,u,43300
137713,41,M,lm,30
5955,53,M,um,274301
170013,24,M,l,15005
15152,60,M,um,172000
84542,41,F,um,48008
46626,67,M,um,101069
115965,49,F,lm,30000
109769,80,M,lm,48082
139283,60,M,lm,35020
118561,61,F,lm,19400
140184,36,F,lm,15000
63760,29,M,um,10900
59628,33,F,um,50002
138562,71,F,lm,12665
165590,74,F,w,18305
39193,33,M,l,0
158974,57,F,w,8520
176386,27,F,l,10001
64952,37,M,um,25000
10169,24,F,um,18300
126892,38,F,lm,37000
41818,54,M,um,58040
54959,36,F,um,28000
22137,31,F,um,39150
51678,41,M,um,101071
124619,59,F,lm,0
151542,17,F,w,0
21329,54,F,um,98008
4591,17,M,um,0
99076,38,F,lm,36000
148262,16,F,w,0
87366,49,F,lm,19206
137813,62,M,lm,36009
63409,30,F,l,0
11123,43,M,um,44000
112267,24,F,lm,12725
98551,40,F,l,4800
68947,43,F,um,0
140663,44,M,lm,6600
45534,33,M,um,45000
79723,44,F,um,42000
85688,40,M,lm,75000
96017,53,M,lm,25000
125346,29,F,lm,17933
62358,54,M,um,50006
175865,45,M,l,10356
153080,80,F,w,26482
51111,55,M,um,55084
88352,34,M,lm,50317
82035,62,F,um,30000
88700,17,F,lm,0
8482,40,F,um,242001
164953,30,F,w,8040
41362,36,F,um,31401
97821,40,F,lm,16197
35203,48,M,um,75002
63684,20,F,um,69750
166322,31,F,w,18000
103677,59,F,lm,5
179018,31,F,l,3904
112514,26,F,lm,35320
125501,41,F,l,6000
98916,78,M,lm,17616
135564,74,F,lm,37659
116919,40,F,lm,30040
162248,53,M,w,20412
114081,20,M,lm,0
8671,41,F,um,125147
49889,42,M,um,86145
13972,37,F,lm,2
43767,46,F,um,120286
152994,56,M,w,18022
104054,36,M,lm,14000
125457,64,F,lm,25266
108027,32,M,lm,35520
90876,63,F,lm,70325
97362,32,M,lm,65004
116711,34,M,lm,38150
62466,49,F,um,14000
183158,62,M,l,112
109385,36,F,lm,29600
27502,22,F,um,8000
96852,80,F,lm,26704
166714,85,M,w,17699
18182,25,F,um,70000
154805,33,F,w,10003
88109,21,F,l,6000
183004,85,F,l,280
112927,56,M,lm,20003
162456,25,F,w,0
108883,42,M,w,18000
8773,30,M,lm,60707
162852,49,F,w,0
116986,28,F,lm,50029
52314,58,M,um,27084
51404,27,M,w,30000
108018,72,F,lm,56889
112777,70,F,lm,53082
171044,56,M,l,11500
40225,30,F,um,50645
23563,39,F,um,70347
107455,34,M,lm,32175
19049,45,F,um,40000
45697,23,M,um,100
64291,40,F,um,60039
33115,27,M,um,109770
123399,48,F,lm,45766
73222,59,F,um,64035
106145,31,F,lm,58303
48002,60,M,um,100000
123402,16,F,lm,0
70246,31,F,um,89058
118450,63,M,lm,19512
143086,41,M,lm,32963
28149,55,F,um,40460
61803,64,F,um,61505
10747,53,F,um,52050
110916,85,F,lm,54822
121352,76,F,lm,19766
59251,60,F,um,93
105564,64,M,lm,9000
41511,39,M,um,62000
31366,28,F,um,76000
180145,25,M,l,6000
131146,55,M,lm,35100
85512,43,M,lm,75000
85265,60,M,um,70017
125340,15,M,lm,0
161201,67,F,w,7380
131394,40,F,lm,40015
38264,68,M,lm,33000
87883,18,F,w,0
38699,35,M,um,75510
38720,62,M,um,90502
161568,58,F,w,0
15323,50,F,um,79025
39307,54,M,um,126000
96026,15,M,lm,0
97871,54,F,l,9000
180452,48,F,l,0
37692,30,M,um,40150
36226,47,F,um,97280
24194,56,F,um,103080
48253,54,M,um,100034
125035,20,F,lm,14000
144394,38,F,lm,32000
172110,53,M,l,0
51656,19,F,um,20000
53631,40,F,um,65004
8406,35,M,um,112404
107951,65,M,lm,56967
89886,24,F,lm,39001
125210,50,F,lm,7
184142,39,F,l,0
114906,73,M,lm,42424
182732,46,M,l,12
13994,54,F,um,25004
161268,85,M,w,9036
170259,52,F,l,15000
106541,52,M,lm,7259
10435,26,M,um,0
146232,67,F,lm,30747
172590,85,M,l,9897
173991,39,F,l,0
133028,67,F,lm,12408
75974,48,F,um,23000
32301,67,M,um,40000
110100,33,M,lm,55035
96766,41,F,lm,35081
112430,20,M,w,6400
145820,75,M,lm,31000
51934,47,M,um,102982
161470,21,M,l,16000
143117,80,F,lm,6548
54573,44,F,um,0
34302,32,F,um,1316
82598,16,F,um,2010
42471,55,F,um,20351
176745,60,M,l,9907
184851,55,M,l,0
135841,39,M,lm,36615
14809,20,M,um,12000
159689,85,F,w,3
122220,25,M,lm,0
85787,22,F,lm,55000
137887,48,F,w,12001
14925,37,M,um,86904
158657,28,M,w,23000
166878,79,M,w,17521
162580,29,F,w,20173
14796,66,F,um,56412
96982,51,M,lm,65080
15677,17,F,um,0
184496,65,F,l,0
29116,68,M,um,46010
116314,44,F,lm,15067
75810,17,F,um,0
120022,74,M,lm,24800
120507,69,M,lm,48000
164643,63,M,w,9600
27623,40,F,um,120066
133568,35,M,lm,39000
63128,29,F,um,25100
63661,17,F,um,0
129015,85,M,lm,16066
72987,31,F,um,53001
166294,36,F,w,18000
159651,53,F,w,0
119423,63,F,lm,21024
114832,41,M,lm,24000
184760,69,M,l,0
113964,85,F,lm,52095
30662,24,F,um,0
63756,65,F,um,29700
106106,69,F,lm,2975
102974,53,M,lm,40000
81284,61,M,um,78520
46073,19,M,um,17497
31875,45,M,um,97000
129955,35,F,lm,8550
143484,21,M,w,20001
11542,76,F,um,10800
31376,56,F,um,32130
94771,45,F,lm,42009
156901,66,M,w,12096
116515,68,M,lm,33139
96761,42,M,lm,24000
176056,58,M,l,10205
41600,69,F,um,33600
156401,27,F,w,600
149882,38,M,w,20000
50537,23,F,um,5480
151254,58,F,w,8618
159877,63,F,w,22062
158400,48,M,w,23107
31102,69,M,um,101826
2945,42,F,u,220018
109849,62,F,lm,15180
65871,60,M,um,2000
89687,76,F,lm,71216
2135,43,M,u,386750
91976,76,M,lm,31578
3844,33,F,um,105251
103491,36,M,lm,5010
124745,25,F,lm,45000
45630,50,M,lm,45002
65543,36,F,um,14000
107014,21,F,lm,20001
1890,54,M,u,100337
179921,80,M,l,162
12615,52,F,um,65050
158617,36,F,w,23000
49124,25,M,lm,25001
94699,43,M,lm,35028
127078,26,F,lm,1200
111788,25,M,lm,54000
59729,43,F,um,25007
128497,29,M,lm,40014
42877,53,F,um,22
61458,50,F,um,42000
17740,39,F,um,61363
98391,78,M,lm,54311
22723,37,M,l,2640
81247,68,M,um,78576
130919,60,M,lm,40282
107021,66,M,lm,37690
118835,16,M,w,0
86253,31,F,lm,30280
103098,35,M,lm,35105
166220,68,M,w,18000
142289,44,M,lm,4399
51577,54,F,um,82591
32810,67,M,um,140020
34711,35,M,um,136020
170240,16,F,l,0
69789,23,M,lm,35000
7259,32,F,um,200760
51100,37,M,um,45055
145206,19,M,lm,1402
79176,15,M,um,0
123776,62,M,lm,23582
104307,23,M,lm,40000
160986,16,F,w,0
106909,33,F,lm,0
129184,48,F,lm,41700
28384,40,M,um,70000
152990,71,F,w,26528
178541,28,M,l,8400
54604,27,F,um,60000
178605,80,F,l,8400
101386,76,M,lm,12084
78420,37,M,um,80807
28013,42,F,um,2
90562,33,M,lm,30402
56842,62,F,um,10
134634,22,M,lm,16500
127010,15,F,lm,107
122711,57,M,lm,46173
41800,48,F,um,105000
61783,28,F,um,0
96615,22,M,lm,25000
99881,42,M,lm,51000
116299,85,F,lm,50457
181513,51,F,l,3444
26230,70,M,um,39223
78014,26,M,um,81148
126753,75,M,lm,18077
164271,25,M,w,9036
48070,36,F,um,54010
147695,28,F,w,10000
13352,54,F,um,80055
176384,43,F,l,10001
13528,50,M,um,136472
88723,31,M,lm,39003
35344,57,M,um,92510
82360,16,F,lm,10019
40706,31,M,um,55020
69048,36,M,um,40011
93438,42,F,lm,43163
4017,15,F,um,0
5535,55,F,l,110
144441,45,M,lm,32000
59216,29,M,um,56000
43982,41,M,um,120097
128084,29,F,lm,13625
72819,59,M,um,60040
100384,17,M,lm,0
165565,73,F,w,18342
11214,16,M,um,400
37850,59,F,um,85017
181751,52,M,l,3000
47969,31,M,um,39000
17396,40,F,um,3612
64009,17,M,um,0
103053,48,F,lm,0
44200,52,M,um,40008
10708,54,F,um,110350
99846,29,F,lm,19000
154062,79,F,w,25862
75064,22,F,um,28006
181655,25,F,l,3000
139889,22,M,w,25000
48817,17,M,um,0
61352,36,M,um,52800
11724,55,M,um,123797
36046,57,M,um,63638
21413,46,M,lm,32459
105523,17,M,lm,0
85529,31,M,lm,75000
67456,40,F,um,22062
177803,76,M,l,8870
103314,15,F,lm,21
101628,39,M,lm,47105
45734,62,F,um,47498
58291,33,F,um,26002
21047,26,M,um,20800
12433,51,M,um,83100
21932,58,F,um,30113
139074,51,M,lm,35075
74148,56,M,um,43000
53018,51,F,um,20000
105572,20,M,lm,24000
159046,66,F,w,6000
88504,56,F,lm,15013
105776,56,F,lm,0
147726,32,F,w,0
21898,40,F,um,73048
92861,65,M,lm,37450
5862,80,F,um,11000
62023,40,F,um,38002
165658,74,F,w,5412
22035,16,F,um,684
67840,55,M,um,25000
107558,27,F,l,5000
90711,80,M,lm,70411
45423,41,M,um,48169
54561,26,M,um,62000
131147,22,M,lm,5000
18122,54,F,um,20010
102223,41,M,lm,16000
64527,48,M,um,95001
103380,27,F,lm,0
101757,36,M,lm,25477
36521,16,M,um,0
86261,22,F,lm,9360
6994,59,M,um,142404
32426,50,F,um,38002
106259,64,F,lm,26173
110304,38,M,lm,55001
77248,30,F,um,37000
2843,29,M,u,223035
122996,32,M,lm,25002
95734,76,M,lm,25648
78769,68,F,w,23811
138954,59,M,lm,0
164764,23,M,l,9000
96296,85,F,lm,0
56334,32,F,um,0
95695,59,F,lm,18887
131464,55,M,lm,40009
144678,47,F,lm,15000
115228,74,F,lm,15218
56641,34,M,um,30000
63928,51,F,um,25295
169006,77,F,l,15863
70835,46,M,um,50000
16889,25,F,um,75072
14439,52,M,um,159800
127782,85,M,lm,42660
159956,80,F,w,22005
14307,59,F,um,37017
107942,70,F,lm,32260
134832,61,F,lm,1050
138186,26,F,lm,24000
111327,20,F,lm,14000
59225,24,M,lm,35000
131248,28,M,lm,40055
27617,52,M,um,87106
37158,32,F,lm,72577
52756,16,M,um,2
6843,62,F,um,130010
180289,20,M,l,5770
34970,58,M,um,102003
52870,35,M,um,108013
68365,17,F,um,512
21521,55,M,um,100139
21487,56,M,um,52522
53488,58,F,um,107100
3608,50,M,um,309150
165210,85,M,w,18666
82238,24,F,l,12310
17824,34,F,um,11017
4912,75,F,um,19248
171236,46,F,l,6000
4494,44,M,um,137550
162617,85,F,w,20136
7811,41,F,um,50002
146305,85,M,lm,17365
135805,39,F,l,5003
90588,44,M,lm,64565
147575,39,M,w,0
162765,43,F,w,10019
83374,35,F,um,40073
95348,33,F,lm,11410
22875,56,F,um,23854
102664,29,F,lm,32000
52610,15,M,um,0
165043,64,F,l,7020
125153,76,F,lm,11371
1073,62,M,u,220800
73252,16,F,um,0
5020,44,F,um,32019
32045,65,M,um,141545
184949,68,F,l,0
7053,64,M,um,169359
120065,44,F,lm,0
72440,15,M,um,3000
43437,78,F,lm,30159
105781,22,F,lm,11002
9780,58,M,um,125003
